#       step         time           dt          wss        u_tau      div_max          U_b      rho_max      rho_min
          30 6.504449e-01   2.6419e-02 8.620764e-04 2.936114e-02   2.3204e-14 1.000000e+00 2.417477e-01 3.121220e-02
          31 6.771141e-01   2.6669e-02 8.661372e-04 2.943021e-02   2.0040e-14 1.000000e+00 2.429351e-01 3.148937e-02
          32 7.039699e-01   2.6856e-02 8.701349e-04 2.949805e-02   2.0178e-14 1.000000e+00 2.438133e-01 3.169577e-02
          33 7.310609e-01   2.7091e-02 8.739353e-04 2.956240e-02   1.9595e-14 1.000000e+00 2.449119e-01 3.195566e-02
          34 7.580763e-01   2.7015e-02 8.777020e-04 2.962604e-02   1.7653e-14 1.000000e+00 2.445594e-01 3.187206e-02
          35 7.857551e-01   2.7679e-02 8.810443e-04 2.968239e-02   1.7680e-14 1.000000e+00 2.476167e-01 3.260377e-02
          36 8.137145e-01   2.7959e-02 8.845544e-04 2.974146e-02   1.6764e-14 1.000000e+00 2.488880e-01 3.291249e-02
          37 8.418984e-01   2.8184e-02 8.878262e-04 2.979641e-02   1.4627e-14 1.000000e+00 2.498959e-01 3.315916e-02
          38 8.698944e-01   2.7996e-02 8.910710e-04 2.985081e-02   1.4794e-14 1.000000e+00 2.490530e-01 3.295275e-02
          39 8.978905e-01   2.7996e-02 8.940584e-04 2.990081e-02   1.2934e-14 1.000000e+00 2.490534e-01 3.295286e-02
          40 9.262077e-01   2.8317e-02 8.969168e-04 2.994857e-02   1.2441e-14 1.000000e+00 2.504911e-01 3.330562e-02
          41 9.545377e-01   2.8330e-02 8.997441e-04 2.999574e-02   1.2768e-14 1.000000e+00 2.505484e-01 3.331975e-02
          42 9.831251e-01   2.8587e-02 9.023740e-04 3.003954e-02   1.3343e-14 1.000000e+00 2.516886e-01 3.360208e-02
          43 1.011600e+00   2.8475e-02 9.049879e-04 3.008302e-02   1.2046e-14 1.000000e+00 2.511898e-01 3.347831e-02
          44 1.039907e+00   2.8307e-02 9.074366e-04 3.012369e-02   1.0839e-14 1.000000e+00 2.504460e-01 3.329450e-02
          45 1.068188e+00   2.8281e-02 9.097681e-04 3.016236e-02   1.0644e-14 1.000000e+00 2.503318e-01 3.326635e-02
          46 1.096976e+00   2.8787e-02 9.119668e-04 3.019879e-02   1.0103e-14 1.000000e+00 2.525674e-01 3.382121e-02
          47 1.126145e+00   2.9169e-02 9.141528e-04 3.023496e-02   1.1172e-14 1.000000e+00 2.542296e-01 3.423931e-02
          48 1.155298e+00   2.9153e-02 9.162726e-04 3.027000e-02   1.0075e-14 1.000000e+00 2.541601e-01 3.422175e-02
